,STATION,NAME,DATE,TMAX
129,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-10,29.4
130,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-11,31.1
131,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-12,31.7
132,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-13,31.1
133,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-14,31.1
134,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-15,28.9
135,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-16,26.1
136,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-17,32.2
137,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-18,32.2
138,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-19,31.7
139,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-20,32.2
140,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-21,32.8
141,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-22,33.3
142,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-23,32.8
143,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-24,33.9
144,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-25,34.4
145,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-26,32.2
146,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-27,33.3
147,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-28,33.9
148,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-29,33.3
149,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-30,31.1
150,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-05-31,32.2
151,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-01,32.8
152,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-02,30.6
153,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-03,30.0
154,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-04,30.0
155,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-05,32.8
156,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-06,33.3
157,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-07,34.4
158,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-08,33.9
159,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-09,33.3
